method,m,heterogeneity,replication,seed,equal_objective,optimized_objective,improvement_percent,max_share,entropy,exact_joint_violation,alpha_allocation
cantelli,20,1.5,0,7,399.49968710876357,341.19785423797174,14.59371177302554,0.14455477320433288,0.9270636583823227,5.040064073125498e-32,"[0.0009463960895958781,0.003640969912224159,0.0011692342017493647,0.0022453072871759278,0.0028187785481367787,0.0015115685203321819,0.0006120985121041249,0.0061400854859214255,0.0023737667832420704,0.002430785760017335,0.0016669258750585507,0.0031951216418567483,0.0018762431032818085,0.0010166249395494945,0.007227738660131229,0.003214710885376126,0.0013138509351572326,0.004708511586851058,0.0006000084858127644,0.001291272785834851]"
cvar,20,1.5,0,7,62.087147264070786,59.13387520088131,4.756656076705432,0.23119432382626276,0.8249318928982171,0.018977086332849235,"[0.00041608043524761604,0.0036987751794697156,0.0005842912021231704,0.0016779952366487447,0.002431297327326771,0.0008837682770764639,0.00020729249874956837,0.008793917593420675,0.0018370053137380877,0.0019094116169044305,0.0010351421141886056,0.0029848194869352505,0.0012536476750774081,0.0004667096177565272,0.011559716191313137,0.0030148766072437827,0.0007049306747733042,0.005654000679326776,0.0002008024004381223,0.0006855198722418393]"
bernstein,50,0.0,0,7,185.84610944249192,185.84610944249192,0.0,0.02,0.9999999999999999,0.005029178285507606,"[0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001]"
cantelli,50,0.0,0,7,1580.3480629279106,1580.3480629216376,3.9693865414567725e-10,0.02,0.9999999999999999,7.405765743059434e-218,"[0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307,0.0010000000000079307]"
cvar,50,0.0,0,7,168.35450385319976,168.35450385319973,1.6882060639843002e-14,0.02,0.9999999999999999,0.01881580581813526,"[0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002]"
bernstein,50,0.5,0,7,185.84610944249192,184.71631310358862,0.6079203607180744,0.044662168171016495,0.9770607666415222,0.005063799558735296,"[0.0013853173642490494,0.0007346211146470313,0.0009590979486121831,0.0009182476031577462,0.0008100262738877572,0.0009200556775973716,0.0010324025305199337,0.0022331084085239856,0.0014857400325171306,0.0006321922918657261,0.001348449714251771,0.0009937705942372468,0.0011309791225448235,0.0004631520320414576,0.0008208485388116973,0.0012521153640681496,0.0008733967742422649,0.0013456806325523188,0.0003049471409847635,0.00046905432133168695,0.0006569618892345683,0.0004443090614665285,0.0005362112413970648,0.001105922654255328,0.0017773717536647225,0.0012537268796714701,0.00035202800163684105,0.0007327467117744588,0.0009235799319654854,0.0019363694174866723,0.0004919577473533214,0.000768631932995559,0.0008154419465222688,0.0007265553810218337,0.0014394312761853891,0.0004988110142501302,0.0010176817341886568,0.001224532239665762,0.0012926819941571034,0.0012725118851199572,0.0010695502021124573,0.0013688128038645403,0.0005709452886797563,0.0015930073956015285,0.0017366818201854143,0.0007171912725617925,0.0008780427644894005,0.001236391004162448,0.0004274789433326725,0.0010212303297518336]"
cantelli,50,0.5,0,7,1580.3480629279109,1538.7531696802819,2.6320083672305787,0.03353960010088935,0.990708570524174,8.767607043053775e-132,"[0.0012506269675832443,0.0008447565276528993,0.000996558594484814,0.000970064821743166,0.0008975446472971513,0.0009712471044804741,0.001043016640165342,0.001676980005020333,0.0013057217309891491,0.0007695308225562276,0.0012300058659425609,0.00101870045104906,0.0011034961304823704,0.0006340326243766126,0.0009049604387210632,0.0011750423475521941,0.0009404389657563933,0.0012284480895872188,0.0004883872815511734,0.0006390572095321524,0.0007881316596105118,0.0006178239227162445,0.0006946084370483513,0.001088326748213981,0.0014578835324923728,0.0011759752577560488,0.0005342554483302696,0.0008434181055436154,0.0009735489689300695,0.0015366284328451971,0.000658328116840937,0.0008688156001770589,0.0009012604578201274,0.000838987663384902,0.001280505023393623,0.000664026712644586,0.0010337937382504552,0.0011590001889060049,0.0011983843667611256,0.0011868152396935943,0.0010660636831141732,0.0012414227078997918,0.0007222788279334366,0.001362963253446183,0.0014372852324905359,0.0008322587847774174,0.0009435350390250001,0.0011659144627771184,0.0006031213424535411,0.0010360217774805511]"
cvar,50,0.5,0,7,168.35450385319973,167.19147361665438,0.6908221698419674,0.044669794767633386,0.977045430728609,0.018824707869173198,"[0.0013854517306178258,0.0007345230604288387,0.0009590770563271123,0.0009182120717026239,0.0008099530731006196,0.000920020790184882,0.001032408267484272,0.0022334897383816696,0.0014859095660218562,0.0006320632307673142,0.0013485709239835436,0.000993762250429539,0.0011310210476450173,0.00046298277279907866,0.0008207790129190767,0.001252201718175188,0.0008733454038793254,0.0013458008494910368,0.000304761904717223,0.0004688861482023659,0.0006568399728448211,0.00044413652794967777,0.0005360572357112792,0.0011059553635034325,0.0017776359201800822,0.0012538138214603354,0.00035184441789155407,0.0007326480587302657,0.0009235463010208499,0.001936679223846652,0.0004917940457955239,0.0007685449134287382,0.0008153705817276172,0.0007264547573100424,0.0014395847247568021,0.0004986487265909107,0.001017682095324212,0.001224608516341257,0.0012927830992019635,0.00127260566742992,0.0010695695477773337,0.0013689412949054222,0.0005707997510952319,0.0015932131804666336,0.0017369335745489197,0.0007170876901596889,0.0008779930216135634,0.0012364716175060774,0.00042730374789505207,0.0010212319857277345]"
bernstein,50,1.0,0,7,185.84610944249195,181.92246494332562,2.1112330577899225,0.08481080482044308,0.9212729994006348,0.005149821735488883,"[0.001622679199253808,0.00045723588040174625,0.0007779246841702236,0.0007132219073517697,0.0005554648453835202,0.000716025891783728,0.000901132275884207,0.00424054024103102,0.001867124380450132,0.00033914038924542396,0.0015373064557300288,0.0008350635635409441,0.0010812301429090068,0.00018277270812516337,0.0005703499410817457,0.0013252697324526719,0.0006454383594144803,0.0015309887744764442,7.979397369474027e-05,0.0001874255028095536,0.0003660811735321964,0.00016830917420531012,0.00024447556099863255,0.0010338823806275968,0.0026763141576284064,0.0013286856611276984,0.00010606039108725335,0.000454916204412716,0.0007215072682516189,0.0031802349857733237,0.0002060329030106504,0.0005003542812206987,0.000562888920012248,0.0004472961456588855,0.0017522353794552333,0.00021177151431559343,0.0008756574739317655,0.0012674922356530024,0.0014126149490552085,0.0013688329449423888,0.0009670565637588857,0.0015841707094782448,0.000276948498046023,0.0021475288509203434,0.0025544965577834365,0.000435893790206735,0.0006523018313014022,0.001292172572971812,0.00015589334672434625,0.0008817647248225229]"
cantelli,50,1.0,0,7,1580.348062927911,1437.4811467407096,9.040218388505625,0.05247608049812637,0.9661406569236614,5.841084716733055e-85,"[0.0014591027420752334,0.0006657268413359798,0.000926472254464558,0.0008778673300423728,0.0007515228837738093,0.0008800083993412912,0.0010148656617056068,0.0026238040249253088,0.0015905035346284837,0.00055244669879928,0.001411379222026555,0.0009680980633656826,0.0011359722819120302,0.00037503786511476286,0.0007639922133883029,0.0012880551161116216,0.0008250676167246616,0.0014078063069090983,0.0002225362203191545,0.00038100510369210396,0.0005794746155994277,0.000356109289719718,0.0004501169203254191,0.0011049550552570534,0.001982858940626433,0.0012901012763252297,0.00026629498340002887,0.0006636190993358614,0.0008841844718031201,0.0022028908307416967,0.00040432809379054496,0.0007041850083476802,0.0007577580304498755,0.0006566658990791502,0.0015296583294474569,0.00041135765038947085,0.0009969972543011668,0.0012531238920404355,0.0013397396340763292,0.0013139958278891208,0.0010602109194889084,0.0014377031732302498,0.00048668983941746913,0.001733028641385735,0.0019272142007535405,0.000646175548421863,0.0008305088560245522,0.001268120565092043,0.0003393634687910284,0.0010012993041553853]"
cvar,50,1.0,0,7,168.3545038531998,164.31565230396288,2.3990160386553545,0.08481626432132779,0.9212353185341516,0.018847246246847412,"[0.001622899172738075,0.0004570667938800442,0.0007778428407906792,0.0007131190106030551,0.0005553169483225863,0.0007159238823914233,0.000901093114737808,0.004240813216066391,0.0018674200048775782,0.0003389569554776305,0.0015374978032418997,0.0008350011654210737,0.0010812567187021987,0.00018260276552852504,0.0005702057938038456,0.0013253862275775699,0.0006453148340473516,0.001531177964484576,7.967452692299326e-05,0.0001872543324970643,0.00036589964850842674,0.00016814349668344653,0.0002442941898547869,0.0010338914701589772,0.0026767716571311616,0.001328803395689222,0.00010592270018974412,0.00045474670380812356,0.0007214070005595847,0.003180709952471245,0.0002058574676878928,0.0005001936669203288,0.0005627428777279872,0.0004471253168780313,0.0017524967077219723,0.00021159495912306892,0.0008756092719033997,0.001267587647002845,0.001412762833387164,0.0013689651780010453,0.0009670411707397803,0.001584377896188031,0.0002767646519299457,0.0021478974007492295,0.0025549396688271686,0.0004357210684400704,0.0006521803167034309,0.0012922770165592836,0.0001557319146590147,0.0008817186816832392]"
bernstein,50,1.5,0,7,185.84610944249192,178.1268901347081,4.153554427875955,0.14156125669375372,0.8470358875982696,0.005270612741925724,"[0.0016641429652092892,0.00025023666551825534,0.0005534382391370059,0.000486072464121938,0.0003345955063688532,0.000488931061298167,0.0006895211691136016,0.007078062834690323,0.0020543617754965535,0.00016023445740173285,0.0015345353655132838,0.0006153064886143189,0.0009056396494194222,6.376179071910337e-05,0.00034807302145722143,0.0012283985634491922,0.00041869587559626776,0.0015250859951580513,1.8555865542564224e-05,6.619533866466963e-05,0.0001795862055201342,5.639187325535225e-05,9.835993848111244e-05,0.0008469274299916791,0.0035309597581624557,0.0012331466199537477,2.834626320711002e-05,0.0002483443499087484,0.0004945353036141382,0.004580292961737766,7.622250373962162e-05,0.00028626511616264776,0.00034129543093019965,0.00024216178951500845,0.0018674982215784878,7.940781917988265e-05,0.0006605715749116333,0.0011490298394923205,0.0013517235515503134,0.0012894100700244506,0.0007663374506232519,0.001605242491530257,0.00011845737407637545,0.002535115892395106,0.0032916558259882276,0.00023300752431296975,0.00042536489874983596,0.00118271486327204,5.0307963960606824e-05,0.0006674740017033362]"
cantelli,50,1.5,0,7,1580.3480629279109,1308.0186416627994,17.23224317816208,0.07733397066031598,0.9308595343580709,2.8352580371505743e-58,"[0.0016032339224035875,0.0004941103104431408,0.0008111808828009345,0.0007481933593700082,0.0005926369919277482,0.0007509321117205131,0.0009299935137336995,0.003866698533031686,0.0018246247797118445,0.0003735274635737717,0.0015252208341701278,0.0008664571075693119,0.0011013292820527326,0.00020893651627254756,0.0006074468386606704,0.001329741726353255,0.0006817210067879842,0.0015194326245081642,9.550353241940213e-05,0.00021394261060162824,0.0004012700389462576,0.00019332075291212804,0.0002747153302142801,0.0010565322425029446,0.0025399652311912605,0.0013329116024231582,0.00012501370306785328,0.0004917657164312038,0.0007562835308233785,0.0029743678994045408,0.00023388361584808834,0.0005375364396031693,0.0006000272569417883,0.00048405757802326454,0.0017209230778028749,0.00024000906765047147,0.0009055415170284879,0.0012760169668581515,0.0014105767290304083,0.0013701143594147928,0.0009930126165155523,0.0015680918155793033,0.0003088661442231085,0.0020753224483164062,0.0024337822506547697,0.00047250533258004496,0.000688475613752912,0.0012989915368452208,0.0001798468540285009,0.0009114087834783523]"
cvar,50,1.5,0,7,168.3545038531998,160.4092306186138,4.719370763917328,0.14152988267407254,0.8470012905092397,0.018880214101899308,"[0.0016644760119092837,0.0002500693779934233,0.0005533225386393895,0.000485937568372833,0.0003344315204768605,0.000488796916938184,0.0006894517016095773,0.007076494133703626,0.00205483114104817,0.0001600808422981358,0.0015348174681300317,0.0006152107618790682,0.0009056558788905354,6.365993485489599e-05,0.0003479105922610469,0.0012285528073192969,0.0004185451943977584,0.0015253642937143985,1.850978243185222e-05,6.609135576643904e-05,0.0001794276497022964,5.629685942606993e-05,9.82328283125938e-05,0.0008469194094477235,0.0035316183460101193,0.001233302899552071,2.8284509256236934e-05,0.000248177138117495,0.000494402649805964,0.004580707180645526,7.611037692845648e-05,0.0002860977416032972,0.00034113218829212697,0.00024199487866316427,0.0018679058381341294,7.929329807892553e-05,0.0006604916044001482,0.0011491499535980208,0.0013519302702381221,0.001289590390700286,0.0007662971807640005,0.0016055526829054957,0.00011831952888024386,0.002535708899178953,0.003292323972943374,0.0002328412144152812,0.00042521560120901774,0.0011828494804983622,5.0219098444100414e-05,0.0006673965072135943]"
bernstein,100,0.0,0,7,389.89492070408096,389.8949207040099,1.822395466134789e-11,0.009999999999999998,0.9999999999999997,0.004819019567267525,"[0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889,0.0005000000000013889]"
cantelli,100,0.0,0,7,4471.01778122163,4471.01778122163,0.0,0.009999999999999997,0.9999999999999997,-0.0,"[0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005]"
cvar,100,0.0,0,7,355.4380693853894,355.4380693853894,0.0,0.009999999999999997,0.9999999999999997,0.018766978232792247,"[0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005]"
bernstein,100,0.5,0,7,389.89492070408096,387.23244947574307,0.6828689185101315,0.03208660474391735,0.975908700285133,0.004856804146463524,"[0.00044070051537344404,0.0003937822697629053,0.0004740947951949399,0.0008261358962200273,0.00030408884067572315,0.00026862983251463594,0.0005465297516783476,0.0009914300286843467,0.0003838825336807719,0.00036168599560691016,0.0007768266133957562,0.0006890870810453405,0.0003480499143737988,0.00033752754899147523,0.0004953874062084838,0.0004314809952929424,0.00032814908304875095,0.00030076386665379713,0.00034793249471464,0.0003266164231985663,0.00025514513619337366,0.0003617249982899606,0.00029288233568797666,0.0002576485552527821,0.0003420117919070365,0.0005282883569681528,8.626807819754362e-05,0.0005553716250546005,0.0002511287203748506,0.0006873243370271144,0.00020185186363573656,0.0005539684912154964,0.00035880917554875194,0.00020413644258837312,0.0011892234805672378,0.0006284801931637742,0.00047620820812819485,0.0006228566983919941,0.00037318647426746337,0.00032784252215455707,0.0007817870787770204,0.0004123639985190909,0.00030525387698873664,0.0003769114096702489,0.0006524273077018919,0.00017052652599393737,0.0011045049050379412,0.000487804015051076,0.0005588615242023532,0.001062063897582221,0.0005071144607466419,0.000277848046517933,0.0004113363699226408,0.0006167865540447496,0.0003993434732652571,0.0005713949400727627,0.00028644138059761865,0.00046883179650185217,0.0016043302371719608,0.00029723524289934205,0.0003583508568683508,0.0004712527218799882,0.0008848244209283552,0.00018269326804890463,0.0003669907497876225,0.00036143449825794076,0.000356826121563549,0.0010093195419168186,0.00029722670499969885,0.00037605239420810045,0.00047493428478783924,0.0002766306908360972,0.00033844305842164855,0.0004513325062982987,0.0005228846272297804,0.0004050171067568976,0.0007243757177724619,0.0003550232242238309,0.0005020781299375161,0.0008698651627185747,0.0003558963893260088,0.00036370674018492186,0.0007173540729236434,0.0004212569958558706,0.0004331891087280316,0.000327226113152271,0.0007688026007632609,0.000540637989750773,0.0008896156116436656,0.0005112893477408599,0.0002906779563413878,0.0009133576337984735,0.0006266724434480998,0.0006982047797674064,0.0006056246426419398,0.0008294924944439168,0.00041539768595201136,0.0007995243515174271,0.00022022217710602625,0.0004059886645308244]"
cantelli,100,0.5,0,7,4471.0177812216325,4329.593255781156,3.163139409430729,0.021139365752861294,0.9907100253534833,7.698069053579586e-208,"[0.0004746423902484118,0.0004424497451031473,0.0004967553609494318,0.0007015505650186522,0.0003764551390471941,0.00034834634601778834,0.0005427509006071898,0.000785434736532964,0.00043547223331936264,0.0004195713732521878,0.0006752841060175532,0.0006268773133240574,0.00040961699237474506,0.0004018330398844166,0.0005105415565148922,0.0004684248336565401,0.000394816552185341,0.0003738746730603019,0.0004095306327519918,0.00039366263195364233,0.0003372890987272067,0.0004195996367150363,0.00036771395297450745,0.00033935840433598944,0.0004051614837540205,0.0005314019167236789,0.00017054892115613352,0.0005481990970039017,0.00033395291574234333,0.000625880962074389,0.0002912070153617089,0.0005473367657160846,0.0004174834370837349,0.00029327093687106027,0.0008788865506539146,0.0005920272311946065,0.0004981342535918655,0.0005887288090627512,0.0004278552969160231,0.0003945859117858804,0.0006779553545887705,0.0004553670609344759,0.0003773567515187327,0.00043051731779948014,0.0006059468617041602,0.0002619460239637998,0.0008396724487052979,0.0005056583098931955,0.000550340253038428,0.000819583258972425,0.0005180366145438891,0.00035578350037499294,0.00045465861948595964,0.0005851554096860202,0.0004463397983607455,0.0005579875551607486,0.0003626320892099312,0.000493311179956423,0.0010569682876588947,0.00037112419701569566,0.0004171502067047706,0.0004948973103402532,0.0007320275381801698,0.0002735349185962506,0.00042340481999599043,0.00041938909651898453,0.00041604043667076043,0.000794171534225714,0.0003711175268396942,0.0004299043229338403,0.0004973033678446143,0.00035480680955217724,0.0004025139499285145,0.00048175062721370824,0.0005280109870897307,0.0004502870923280293,0.000646619413247353,0.00041472585795056976,0.0005148260596152202,0.0007243362505781623,0.0004153628433975628,0.0004210341791252385,0.000642721551867538,0.0004614697292387509,0.0004695806016951923,0.0003941219076842097,0.0006709489835979958,0.0005391015575121992,0.0007344801440149852,0.0005206886892177725,0.0003659795673061609,0.000746558186309957,0.0005909681620778472,0.0006320151441004981,0.000578548747038416,0.0007033160045584976,0.00045745451670184607,0.0006874533776898058,0.0003075624772138861,0.0004509608922092628]"
